Feature,Constraints,Target,Plot,Media,CR,pw
Dove_Bar_Offline_Volume,,,,,,
Dove_Bar_Offline_Average_Price,-1,1,1,,0.75,0.75
Safeguard_PW_TV_GRP,-1,1,1,1,0.75,0.75
Dove_Bar_Offline_TDP_Distribution,1,1,1,,0.75,0.75
Dove_PW_MSP_TV_GRP,1,1,,1,0.75,0.75
DOVE_ALL_ALL_ALL_DIGITAL.SPENDS.MSP.OOH_ownM_0370,1,1,,,0.75,0.75
DOVE_ALL_ALL_ALL_DIGITAL.SPENDS.MSP.PREROLL_ownM_0370,1,1,,,0.75,0.75
DOVE.Shampoo_ALL_ALL_ALL_CDS.DIGITAL.ACTIVATION_haloD_0330,1,1,,,0.75,0.75
DOVE.Shampoo_ALL_ALL_ALL_CDS.SOCIAL_haloD_0330,1,1,,,0.75,0.75
DOVE_ALL_BAR_OFFLINE.RETAIL_CDP_ownpromo.L2,1,1,,,0.75,0.75
DOVE_ALL_BAR_OFFLINE.RETAIL_BBP.RT_ownpromo.L2,1,1,,,0.75,0.75
DOVE_OTHERS_BAR_OFFLINE.RETAIL_TCP.DM_ownpromo.L2,1,1,,,0.75,0.75
DOVE_OTHERS_BAR_OFFLINE.RETAIL_CPP_ownpromo.L2,1,1,,,0.75,0.75
DOVE.Shampoo_ALL_ALL_ALL_SPENDS.MSP.OOH_haloM_0370,1,1,,,0.75,0.75
DOVE.Shampoo_ALL_ALL_ALL_SPENDS.MSP.PREROLL_haloM_0370,1,1,,,0.75,0.75
SET1.RETAIL,1,1,,,0.75,0.75
SET1.ONLINE,1,1,,,0.75,0.75
