Feature,Target,Plot,Constraints,Media,pw,CR
OMOTotal-SalesVolKG,0,,0,0,0,0
OMOTotal-AVGPriceIDX,1,1,-1,0,0,0
LIBYTotal-AVGPriceIDX,1,1,1,0,0,0
BlueMoonTotal-AVGPriceIDX,1,1,1,0,0,0
TIDETotal-AVGPriceIDX,1,1,1,0,0,0
OMORT-Total-TTS-CPP,1,1,1,0,0,0
OMORT-Total-TTS-DM,1,,1,0,0,0
OMORT-Total-TTS-TCP,1,,1,0,0,0
OMOTotal-MaxWTD,1,,1,0,0,0
OMO-BMI-CDP-Total,1,,1,0,0,0
OMO-BMI-BBP4RT-Total,1,,1,0,0,0
OMO-MSP-TV,1,,1,1,0.5,0.1
OMO-MSP-OV,1,,1,1,1,0.2
OMO-MSP-OOH,1,,1,1,0.4,0.3
OMO-CDS-Content,1,,1,1,0.6,0.4
OMO-CDS-Digital,1,,1,1,0.5,0.5
OMO-CDS-Social,1,,1,1,0.5,0.6
OMO-PFM-EC,1,,1,1,0.5,0.7
OMO-CDS-Social-OCPM,1,,1,0,0,0
OMO-CDS-Social-SocialKOL,1,,1,0,0,0
OMO-CDS-Social-SocialOthers,1,,1,0,0,0
CustomerDummy,1,,0,0,0,0
