Date,Dove_Bar_Offline_Volume,Dove_Bar_Offline_Average_Price,Dove_Bar_Offline_TDP_Distribution,DOVE_ALL_ALL_ALL_DIGITAL.SPENDS.MSP.OOH_ownM_0370,DOVE_ALL_ALL_ALL_DIGITAL.SPENDS.MSP.PREROLL_ownM_0370,DOVE.Shampoo_ALL_ALL_ALL_CDS.DIGITAL.ACTIVATION_haloD_0330,DOVE.Shampoo_ALL_ALL_ALL_CDS.SOCIAL_haloD_0330,DOVE_ALL_BAR_OFFLINE.RETAIL_CDP_ownpromo.L2,DOVE_ALL_BAR_OFFLINE.RETAIL_BBP.RT_ownpromo.L2,DOVE_OTHERS_BAR_OFFLINE.RETAIL_TCP.DM_ownpromo.L2,DOVE_OTHERS_BAR_OFFLINE.RETAIL_CPP_ownpromo.L2,DOVE.Shampoo_ALL_ALL_ALL_SPENDS.MSP.OOH_haloM_0370,DOVE.Shampoo_ALL_ALL_ALL_SPENDS.MSP.PREROLL_haloM_0370,SET1.RETAIL,SET1.ONLINE,Safeguard_PW_TV_GRP,Dove_PW_MSP_TV_GRP
44214,77609.112,67.74521528,74,645978.0,663622.68,0.0,0.0,0.0,0.0,2178.89,360038.84,1295000.0,2491994.35,38.56751829,57.03288479,76.91604182598257,61.67066720636473
44245,71479.536,68.47672458,74,0.0,0.0,1100000.0,1762879.44,0.0,0.0,5444.275367,407122.65,0.0,2491994.35,39.32272512,54.00629501,92.78328676604902,17.735969481499648
44273,72575.136,66.36559386,71,645978.0,579125.67,96000.0,1649611.67,0.0,0.0,1257.200108,606685.94,2014221.0,5846213.91,39.71560096,47.88780481,74.55079016350841,45.932249083733105
44304,60221.08,66.05691479,69,0.0,579125.67,0.0,1263421.23,0.0,0.0,36846.33,0.0,1897334.0,6339960.9,38.97806494,44.38555665,67.15062263262175,25.08825991575061
44334,61206.96,63.72677225,66,645978.0,2286446.66,0.0,732990.0,0.0,0.0,3629.45085,465567.84,1663244.0,5923098.9,39.65182499,51.87803147,70.68490412754994,61.54616779607613
44365,95575.712,54.58724179,78,645978.0,1979692.94,0.0,2802060.92,4588162.33,8668520.1,1160.684885,271700.21,1365680.0,5368939.14,37.65138119,48.04853014,66.12550520241798,17.709108955379467
44395,54048.608,68.78119784,73,0.0,1431293.74,204258.16,36358.0,4229020.72,2988330.06,3465.049186,131690.79,1354632.0,2336797.45,39.60042847,57.53675902,103.93376970170746,6.957344044731664
44426,81276.72,61.1107461,74,735816.0,1431293.74,194008.0,2755777.22,5780856.13,5136718.76,1454.32,294543.32,0.0,2336797.45,39.48730033,53.55451695,106.56646199143935,32.26946161410304
44457,52616.208,67.99125471,70,687864.0,0.0,192679.08,1693530.13,4964236.586,4568696.51,2063.592742,218616.17,1586365.5,2444276.64,40.04528695,53.22619426,112.6880258253019,11.396891066761055
44487,58907.12,67.18563902,68,550851.0,3888992.59,0.0,990753.73,4973880.594,6685723.24,2111.77,343368.46,942898.0,1188975.47,40.29822293,59.00802931,93.7392520253856,37.47561624312664
44518,63442.268,67.12744727,70,1296583.2,1206859.3,0.0,1664489.74,0.0,4228722.73,2657.971276,136111.47,3186215.0,1188975.47,40.31392292,44.17354966,105.01284162447718,32.399372128804565
44548,85973.736,61.82503224,70,1172486.6,1163683.3,0.0,268731.2,3987638.74,2653780.348,2558.654732,476668.73,0.0,0.0,40.07138551,56.38985437,93.78222188911587,21.723408671052354
44215,69313.816,66.29365926,68,937380.0,0.0,0.0,625120.95,3889091.87,4415272.542,1974.172321,553060.19,2764172.34,3855772.16,40.76184952,61.82241439,90.57285525739717,8.109459829768912
44246,72671.936,66.88202169,68,937380.0,0.0,0.0,5088717.13,4165344.52,0.0,465.0682294,480517.66,2529902.34,5942711.32,41.30314823,55.55485645,105.06717974235711,3.872932186183765
44274,60767.228,70.05673354,66,593750.0,0.0,154827.3,3168204.9,3953594.31,2333480.92,292.6333883,376982.12,474074.37,6236319.48,41.99413351,53.64542307,95.91683398911906,2.224978747557597
44305,51750.984,68.20096406,61,1791434.0,3640621.49,50000.0,4064854.53,3504690.61,4190627.94,43630.80816,410452.13,1219031.37,4310712.39,41.31602546,46.67955514,111.13284135635878,36.8764072871795
