Date,Dove_Core_SGL_Offline_Volume,Dove_Core_SGL_Offline_Average_Price,Dove_Core_SGL_Offline_TDP_Distribution,Dove_Core_SGL_Offline_CPP_Promotion,Dove_Core_SGL_Offline_TCPDM_Promotion,Dove_PW_CDP_Promotion,Dove_Core_BB-Retail_Promotion,Dove_PW_MSP_TV_GRP,Dove_PW_MSP_OOH,Dove_PW_MSP_Pre-roll,Dove_PW_CDS_Digital,Dove_PW_CDS_Social,Dove_Haircare_MSP_OOH,Dove_Haircare_MSP_Pre-roll,Dove_Haircare_CDS_Digital,Dove_Haircare_CDS_Social,Comp_Price_Retail,Comp_Price_EC
44214,1303795.805,43.80164773,924,1815619.81,2254237.17,0,0,243.6528689,645978,663622.68,2409843.33,0,1295000,2491994.35,0,0,40.09978186,39.70326026
44245,1263026.269,45.19706856,890,8650062.09,2654988.07,0,0,0,0,0,1659843.34,0,0,2491994.35,1100000,1762879.44,40.01968345,39.29508623
44273,1215514.112,44.70154732,816,7323768.93,2554738.66,0,0,151.1946314,645978,579125.67,0,839024.88,2014221,5846213.91,96000,1649611.67,41.61267654,38.62623269
44304,1161888.902,43.19739375,754,6359454.8,1583546.15,0,0,38.99555703,0,579125.67,0,1839024.88,1897334,6339960.9,0,1263421.23,41.34308989,36.40696258
44334,1072678.289,43.17102868,678,7117364.23,1088485.4,0,0,224.1810532,645978,2286446.66,0,1016091.92,1663244,5923098.9,0,732990,42.16005587,39.03943739
44365,1227299.972,41.37344004,802,7641314.74,1560940.84,4588162.33,0,0,645978,1979692.94,0,1372808.08,1365680,5368939.14,0,2802060.92,38.43692307,34.4846976
44395,1011706.405,44.13066759,776,5170025.23,1562540.23,4229020.72,0,0,0,1431293.74,848006.16,1442015.64,1354632,2336797.45,204258.16,36358,41.23162601,39.36945368
44426,1453109.933,41.48945363,809,7776316.73,3037014.89,5780856.13,0,97.51790688,735816,1431293.74,2500000,1922015.65,0,2336797.45,194008,2755777.22,40.48699868,39.12910658
44457,971632.005,41.99521835,732,4822524.87,1599780.12,4964236.586,0,1.445609963,687864,0,0,2425220.05,1586365.5,2444276.64,192679.08,1693530.13,40.71394219,35.27096395
44487,1015289.297,42.88074555,734,5564490.22,1755479.73,4973880.594,0,116.8621997,550851,3888992.59,0,3920538.19,942898,1188975.47,0,990753.73,41.01826635,40.37752404
