Date,Dove Dakota Body Scrub EC Volume,Dove PW MSP TV GRP,Dove Dakota Body Scrub EC Average Price,Dove Dakota BS EC CPP Promotion,Dove PW BB-EC promotion,Dove PW ECP Promotion,Dove PW CDS Digital,Dove PW CDS Social,Dove PW MSP OOH,Dove PW MSP Pre-roll,Dove PW PFM Livestream,Dove PW PFM CPS,Dove PW PFM Others,Dove Haircare PFM CPS,Dove Haircare PFM Livestream,Dove Haircare PFM Others,Comp Price-EC,Comp Price-Retail
 Jun-20,138822.016,38.13517315,175.2238564,522012.3816,0,3081997.47,750000,6793339.64,550800,2178631.08,2050089.7,1663649.63,8968891.84,1113625.4,782718.75,7259610.54,164.8796116,46.02637696
 Jul-20,46400.03,93.9921101,219.5875341,40.84952241,0,2792025.19,0,1576171.41,1111494,4366528.66,380290.3,821277,5560015.06,115646,51767.94444,3979472.28,218.3459982,46.11158683
 Aug-20,65722.219,0,207.452752,760.94224,0,2385536.58,0,2423395.3,0,0,380290.3,1037470,2518158.28,122080,51767.94254,2734178.75,183.7668484,46.21229141
 Sep-20,47772.694,46.92041947,210.0543375,32340.10323,0,7802506.87,0,4264551.7,943704,3924235.27,9744733.9,1067191.87,3610157.5,905547.97,228501.3183,3296125.2,227.0250353,47.88105147
 Oct-20,39270.308,62.41974571,219.6029224,302815.3715,33627.96,5186944.54,2000000,5634426.65,1061232,3820009.96,132771.7028,4903889.769,11711356.86,2950305.989,82383.09714,7228756.33,228.8946442,51.77703164
 Nov-20,182804.908,57.00942536,171.3112634,9913.336685,0,3951131.73,800000,5010944.19,554273,3833650.4,275774.3656,3143850.271,7424544.681,2171760.391,188246.3176,7015712.82,196.3086764,51.05579744
 Dec-20,33312.162,0,211.6300776,0,0,2652739.61,0,2138408.01,0,0,0,359145.4,5435564.96,0,0,1576697.42,192.4473508,52.56464664
 Jan-21,45624.785,65.52775415,187.8013773,134058.4,0,2707757.82,0,676336.11,512080,3811606.62,248176.8176,624024.44,5808354.67,490549.06,294.8554624,1880290.16,190.5055868,49.4114979
 Feb-21,31144.869,0,203.9861327,372014.2,0,2435848.27,0,1028640.01,0,0,274844.914,548004.34,3015473.07,95954.05,326.6345376,1636910.31,259.5773541,51.66067709
 Mar-21,71889.535,53.46901608,192.0941855,28.98,0,1850549.99,0,1808108.89,512080,3279755.96,0,1029219.54,5038365.41,166022.35,0,2195299.51,191.8707235,48.64492559
 Apr-21,70361.061,0,197.7524957,574073.46,247775.55,5598127.74,0,2177204.65,0,906344.37,1467576.92,873172.96,3398853.77,693071.8092,680056.48,2763073.37,241.0193029,48.81978483
 May-21,84622.735,73.01929549,196.4669979,71889.91,0,6650617.44,104838.71,2231565.76,0,4269262.68,816927.85,609592.15,9269143.7,957330.8208,1547158.5,5215407.02,184.8107122,47.16050753
 Jun-21,209709.382,1.994041786,165.874943,507516.32,0,3323446.47,145161.29,2740658.61,0,4062621.94,2631378.4,3699415.37,8727835.01,0,1481818.09,3250318.62,149.6121502,44.49608797
 Jul-21,111979.802,0,191.5552158,1224290.8,0,3376389.41,17706.67,2638972.69,0,0,1440494.72,1215392.43,3152833.7,684646.37,415370.23,3194600.76,215.8597844,46.14668796
