Date,Lux Core Bar Offline Volume,Lux PW MSP TV GRP,Lux Haircare MSP TV GRP,Lux PW CDS Social,Lux Haircare CDS Social,Lux Haircare MSP Pre-roll,Lux Core Bar Offline Average Price,Lux Core Bar Offline WD Distribution,Lux Core Bar Offline TCP+DM Promotion,Lux Core Bar Offline CPP Promotion,Lux Core Offline BB-Retail Promotion,Lux PW CDP Promotion,Lux PW MSP OOH,Lux PW MSP Pre-roll,Comp Price- Retail,Comp Price-EC
 Jun-20,863144.405,82.69534859,0,3061586.24,5415443.05,0,34.48088314,46,182807.44,3097268.96,13622597.58,14673113.18,1686381.28,6033536.5,39.55231238,32.34871729
 Jul-20,961886.488,102.3244404,0,1018090.98,55355.83,0,34.33169405,45,193980.02,3418792.54,6627111.722,13292808.08,1555908,5926475.53,40.0132161,35.15233877
 Aug-20,964160.214,91.49909529,0,2017008.33,172198.9,2444602.31,34.56329476,44,179507.61,3639249.28,9924176.063,14512187.62,2200548,7129983.94,40.10583803,35.59678301
 Sep-20,965389.831,59.68370968,34.64306882,1626998.93,3404431.99,3260502.43,33.74895166,42,164914.78,4049859.51,7379889.396,16277889.02,1354254,5798056.101,40.14426484,35.77362725
 Oct-20,885075.363,101.5058422,93.34773815,1674799.43,6052214.69,3745056.95,34.42651137,42,81292.87,3300639.89,5587432.991,13860475.57,1478975.59,5172453.12,40.25386566,33.9204729
 Nov-20,760586.4,231.8971459,82.49794347,1520909.49,8833399.58,2642852.18,34.54325066,41,143377.37,3364911.9,5662222.414,12000230.89,1281030.63,7638065.2,40.1135967,34.76059809
 Dec-20,714910.953,12.23394376,160.1766593,941290.13,336192.16,3232438.51,34.84497636,36,192690.26,3185288.92,12544065.33,16416550.33,0,0,40.73855719,33.81055275
 Jan-21,831889.104,123.6717237,106.9851426,1665946.73,4000,3381018.27,31.90934082,43,96934.6,3319246.64,4433144.51,9442097.01,732100.29,5713989.172,38.35635061,34.73794425
 Feb-21,674078.584,17.92160746,5.107995618,365815.82,1442370.87,0,34.38657065,41,50000,1192880.03,5034994.61,12461029.95,0,0,40.59183843,36.80141602
 Mar-21,837963.776,122.5175669,92.25675412,4493456.39,1673223.64,3058914.55,32.62562884,42,101164.19,2406717.86,16690875.84,13001826.58,730930.33,5652879.93,39.70160996,36.34507481
 Apr-21,698916.263,137.1629025,70.30949823,840595.41,1388066.22,1543640.93,34.52413615,39,90089.05,2611553.01,3197708.819,11604292.33,578116.33,5584506.08,40.73022862,36.19776079
 May-21,748540.653,109.6814359,0,1893157,2139528.55,0,34.34732725,40,117874.28,2432872.45,2751912.27,14870444.23,578116.33,5355955.18,40.2436941,33.33711945
 Jun-21,802064.981,98.73671505,58.6144989,3215908.28,3958981.05,1569632.76,34.78198758,42,137983.62,3240338.93,6994378.3,13592197.72,628076.33,5816482.29,40.07351069,35.86719766
 Jul-21,899993.631,109.2156454,49.01435687,306679.24,821001.41,1471531.06,34.25820873,44,109458.46,2786434.43,10224720.28,12195686.16,375732,4818880.256,39.94930305,31.89598736
