Date,Lux Premium SGL Offline Volume,Lux Premium SGL Offline Average Price,Lux Premium SGL Offline TDP Distribution,Lux Premium SGL Offline TCP+DM Promotion,Lux Premium SGL Offline CPP Promotion,Lux PW CDP Promotion,Lux Premium BB-Retail Promotion,Lux PW MSP TV GRP,Lux PW MSP OOH,Lux PW MSP Pre-roll,Lux PW CDS Digital,Lux PW CDS Social,Lux Haircare MSP OOH,Lux Haircare MSP Pre-roll,Comp Price-Retail,Comp Price-EC
 Jun-20,206077.579,46.84977588,231,192671.0886,2968818.41,14673113.18,14785339.63,82.69534859,1686381.28,6033536.5,200000,3061586.24,0,0,40.01052091,31.83751983
 Jul-20,231913.673,49.10236966,232,172615.83,3080498.08,13292808.08,6727821.321,102.3244404,1555908,5926475.53,0,1018090.98,0,0,40.2644745,33.08929693
 Aug-20,241145.725,54.11420294,232,348633.83,3000560.33,14512187.62,10896636.12,91.49909529,2200548,7129983.94,0,2017008.33,2620558.36,2444602.31,40.39889187,34.70989306
 Sep-20,236951.797,53.72108712,234,554459.91,4017158.43,16277889.02,7601151.056,59.68370968,1354254,5798056.101,0,1626998.93,271934.72,3260502.43,40.53565255,37.61820731
 Oct-20,201730.358,52.74955106,232,352669.87,2570974.92,13860475.57,6236848.472,101.5058422,1478975.59,5172453.12,28507.14,1674799.43,1469098.17,3745056.95,40.73623896,33.67375044
 Nov-20,166702.788,53.31033618,212,320966.2,2299515.97,12000230.89,5824387.049,231.8971459,1281030.63,7638065.2,771492.86,1520909.49,103262.75,2642852.18,40.45906276,34.6399482
 Dec-20,138762.072,52.21265801,187,92656.51,1838331.77,16416550.33,13765739.15,12.23394376,0,0,0,941290.13,234560,3232438.51,41.17646822,36.49726553
 Jan-21,183426.828,44.58061364,233,321842.83,4462682.03,9442097.01,4815288.81,123.6717237,732100.29,5713989.172,62372.88,1665946.73,575266,3381018.27,38.56647875,35.33725256
 Feb-21,165126.759,53.76830451,219,344111.53,1865753.99,12461029.95,5110695.575,17.92160746,0,0,75932.2,365815.82,0,0,40.691338,37.41216125
 Mar-21,258241.071,49.09198227,237,201186.81,2397648.82,13001826.58,18623873.35,122.5175669,730930.33,5652879.93,21694.92,4493456.39,561802,3058914.55,40.07905854,36.6876298
 Apr-21,159994.163,56.61623137,199,63986.99,1735996.19,11604292.33,3464885.489,137.1629025,578116.33,5584506.08,0,840595.41,295306.66,1543640.93,40.64100489,35.89177529
 May-21,187158.806,54.53807266,211,14181.59,1931566.22,14870444.23,2998538.38,109.6814359,578116.33,5355955.18,300000,1893157,0,0,40.30245024,32.6162723
 Jun-21,217615.929,51.33729696,214,240098.72,2483359.14,13592197.72,9172268.47,98.73671505,628076.33,5816482.29,0,3215908.28,525382.95,1569632.76,40.11085039,30.99723787
 Jul-21,235788.691,54.36115522,222,441096.76,2591135.18,12195686.16,11510859.48,109.2156454,375732,4818880.256,0,306679.24,36419.05,1471531.06,40.12839076,30.88711304
