Date,Lux Core SGL EC Volume,Lux Core SGL EC Average Price,Lux Core SGL EC CPP Promotion,Lux PW ECP Promotion,Lux PW MSP TV GRP,Lux PW CDS Digital,Lux PW CDS Social,Lux PW MSP OOH,Lux PW MSP Pre-roll,Lux PW PFM CPS,Lux PW PFM Livestream,Lux PW PFM Others,Lux Haircare CDS Content,Lux Haircare CDS Digital,Lux Haircare CDS Social,Lux Haircare PFM CPS,Lux Haircare PFM Livestream,Lux Haircare PFM Others,Lux Haircare MSP OOH,Lux Haircare MSP Pre-roll,Comp Price-Retail,Comp Price- EC
 Jun-20,2417127.181,28.91366269,6107053.76,7275993.12,82.69534859,200000,3061586.24,1686381.28,6033536.5,2795614.3,2139862.27,15892076.84,0,2850000,5415443.05,591937.17,682515.21,3130789.07,0,0,40.16442392,34.39684279
 Jul-20,1353472.561,29.94371749,6193603.04,6475000.01,102.3244404,0,1018090.98,1555908,5926475.53,1107213,269148.83,6084065.56,0,0,55355.83,56588,100823.71,1288139.9,0,0,40.62428705,35.69619266
 Aug-20,1469341.845,30.18085965,14633386.24,7826136.64,91.49909529,0,2017008.33,2200548,7129983.94,1557394.13,269148.83,2120273.28,0,254763.64,172198.9,23200,100823.71,303026.14,2620558.36,2444602.31,40.69970238,37.63115544
 Sep-20,1821530.1,34.3524381,18464385.51,18305689.94,59.68370968,0,1626998.93,1354254,5798056.101,641122.26,2146034.39,4821160.47,0,545236.36,3404431.99,35761.34,2005003.32,1363807.26,271934.72,3260502.43,40.53632942,38.25521135
 Oct-20,1481351.22,30.0637684,14380850.12,13640241.26,101.5058422,28507.14,1674799.43,1478975.59,5172453.12,3270158.47,672049.11,8667517.343,0,598095.24,6052214.69,1357223.16,749380.11,3467108.19,1469098.17,3745056.95,40.76990653,35.04433896
 Nov-20,3065512.607,27.6054973,2187476.8,5800297.67,231.8971459,771492.86,1520909.49,1281030.63,7638065.2,2886902.08,1752536.37,11879833.19,0,411904.76,8833399.58,2137607.37,778233.94,4744136.46,103262.75,2642852.18,40.7807446,37.86376056
 Dec-20,1045255.82,34.98186693,9614391.32,4524766.26,12.23394376,0,941290.13,0,0,1660658.04,1400019.11,5007656.5,8000000,0,336192.16,155179.6,1390726.51,882482.19,234560,3232438.51,41.54346413,37.00274339
 Jan-21,890734.41,30.36258586,19209551.47,9653535,123.6717237,62372.88,1665946.73,732100.29,5713989.172,597193.23,624758.81,3688031.99,2000000,0,4000,200219.46,415191.76,1627370.14,575266,3381018.27,38.06292179,37.70536239
 Feb-21,633270.91,30.65196852,0,3807730.07,17.92160746,75932.2,365815.82,0,0,563591.75,689320.22,3748519.09,2000000,76000,1442370.87,60786.08,461708.86,1601448.95,0,0,40.5200403,40.0213199
 Mar-21,1657246.12,32.20885501,5854769.79,7599020.9,122.5175669,21694.92,4493456.39,730930.33,5652879.93,1229872.96,1537265.91,8206649.06,2000000,20000,1673223.64,161883.88,2648123.43,1538200.4,561802,3058914.55,40.03591422,39.2096718
 Apr-21,1190497.86,29.62710072,15636312.6,18742383.88,137.1629025,0,840595.41,578116.33,5584506.08,955010.75,1178188.16,6391676.83,2000000,0,1388066.22,5096.811296,748379.08,1504795.84,295306.66,1543640.93,40.43749079,40.45408368
 May-21,1601347.83,28.67334575,18412113.5,15798940.51,109.6814359,300000,1893157,578116.33,5355955.18,715087.69,2231836.76,13261168.8,0,0,2139528.55,10560.3987,8827954.38,3124289.98,0,0,40.22538371,36.13178048
 Jun-21,3402018.07,26.84112727,9261374.36,6980561.65,98.73671505,0,3215908.28,628076.33,5816482.29,3932898.71,1623883.2,11608091.45,0,0,3958981.05,0,3264478.35,794442.12,525382.95,1569632.76,40.06719234,35.11622393
 Jul-21,1316160.615,28.51171777,4244003.95,6869328.65,109.2156454,0,306679.24,375732,4818880.256,1369115.63,1156876.57,7417092.26,0,0,821001.41,71662.98,1207907.09,1409592.87,36419.05,1471531.06,40.27892643,33.0701772
