Date,OMOTotal-SalesVolKG,OMOTotal-AVGPriceIDX,LIBYTotal-AVGPriceIDX,BlueMoonTotal-AVGPriceIDX,TIDETotal-AVGPriceIDX,OMORT-Total-TTS-CPP,OMORT-Total-TTS-DM,OMORT-Total-TTS-TCP,OMOTotal-MaxWTD,OMO-BMI-CDP-Total,OMO-BMI-BBP4RT-Total,OMO-MSP-TV,OMO-MSP-OV,OMO-MSP-OOH,OMO-CDS-Content,OMO-CDS-Digital,OMO-CDS-Social,OMO-PFM-EC,OMO-CDS-Social-OCPM,OMO-CDS-Social-SocialKOL,OMO-CDS-Social-SocialOthers,CustomerDummy
44214,11139.5909,91.363209,93.651776,131.236712,93.935266,39573086.72,305403.84,2794484.53,61,19772.7721,4336.68994,5557,5448,2105,0,4,2640,4707,0,2639.85261,0,0
44245,8846.686366,93.403221,96.575262,133.755355,97.315248,16218620.73,122866.27,3431638.84,56,20489.42979,4034.67764,4761,2609,541,0,0,2640,2045,0,2639.85261,0,0
44273,11507.1092,90.918507,94.378191,127.239768,93.949941,29584630.73,890430.19,4367968.13,61,22688.49263,8654.04091,3386,2540,412,0,0,2640,5980,0,2639.85261,0,0
44304,9575.318982,92.373546,94.379108,128.448529,96.352959,31864297.54,416996.8,2634242.01,60,25178.68205,2417.56532,4659,4773,1802,7500,0,2640,5722,0,2639.85261,0,0
44334,10731.15318,91.696355,94.214919,133.060735,96.186731,18122024.8,663833.05,5328550.27,61,26739.1075,3705.73071,4934,5168,1772,0,20,2640,7185,0,2639.85261,0,0
44365,10022.94902,92.514388,95.363521,131.589425,95.58209,30524306.27,572441.32,7533101.58,61,25061.57844,13828.93856,5232,5852,1772,0,0,2665,16517,0,2639.8526,25.44,1
44395,10947.53748,93.769697,94.268207,131.170893,95.611924,27818927.78,526101.97,-2357730.72,62,21733.52166,4397.43248,5250,8850,1420,22500,0,669,1580,0,643.54309,25.44,0
44426,9392.950421,95.066902,97.023134,134.457111,96.032851,18739374.22,554605.54,2871265.05,60,22411.92953,7822.98863,4213,6788,1315,15000,0,3149,1974,0,643.54309,2505.44,0
44457,9646.90238,97.784667,97.524811,131.029426,93.486186,24935728.96,554125.83,4064563.72,61,25184.23081,2571.04231,4994,8332,1657,0,170,1011,10193,0,643.54309,367.14141,0
44487,9565.963319,96.906651,97.152467,129.698654,93.566215,23143817.43,539209.42,6078800.95,60,17305.23201,5077.1495,5012,8759,1622,0,0,1547,8179,0,643.5431,903.22711,0
