Date,Dove Core Offline Volume,Dove Core Shampoo Offline Average Price,Dove Core Shampoo Offline TDP Distribution,Comp Price-Retail,Comp Price-EC,Pantene Haircare MSP TV GRP,Dove Core Offline BB-Retail,Dove Core Shampoo Offline CPP Promotion,Dove Core Shampoo Offline TCP+DM Promotion,Dove Haircare CDP Promotion,Dove Haircare MSP TV GRP,Dove Haircare MSP OOH,Dove Haircare MSP Pre-roll,Dove Haircare CDS Digital,Dove Haircare CDS Social,Dove PW MSP TV GRP,Dove PW CDS Digital,Dove PW CDS Social,Dove PW MSP OOH,Dove PW MSP Pre-roll
 Jan-20,468755.872,66.51245534,457.0,67.57213542,51.8693698,199.4540271,4257071.61,7453774.11,1019394.75,2246807.27,217.8814153,1597434.55,1887108.74,0.0,1517622.0,61.5386907,0.0,1413823.05,486540.0,1583859.3
 Feb-20,289606.176,72.46868934,343.0,74.62018545,57.42292506,256.3742711,2865895.98,892096.45,591106.22,1692652.47,0.0,0.0,0.0,0.0,48770.57,0.0,0.0,1413823.05,0.0,0.0
 Mar-20,361210.048,68.95230113,346.0,70.14138884,52.30397302,254.9667527,2165802.41,5766003.12,985141.47,2249958.95,256.3600892,0.0,1925062.97,0.0,576172.52,83.63700908,0.0,2413012.98,855729.0,3264811.2
 Apr-20,363407.072,70.69686855,376.0,71.88074821,48.87910428,215.1505657,1270247.777,3730558.97,1142342.69,2529000.31,197.9519113,743583.0,1738286.6,0.0,1559011.76,0.509663122,0.0,2047044.01,0.0,0.0
 May-20,407346.144,68.24277684,364.0,71.60159853,47.61157856,187.7734813,0.0,5152953.09,1430857.59,2712059.54,10.25654912,0.0,3728815.75,400000.0,1469924.33,61.21255234,750000.0,0.0,2737546.0,4757238.84
 Jun-20,359441.856,68.92648585,345.0,71.56066728,45.14345303,179.8051792,1023618.703,5483672.89,1255864.43,2856774.37,115.3667636,1182759.28,3728815.75,0.0,4807890.49,38.13517315,750000.0,6793339.64,550800.0,2178631.08
 Jul-20,400233.664,67.71812178,358.0,71.81437255,51.47188033,288.5549412,996025.535,5551772.89,1253863.59,2482950.54,91.84034936,887441.0,5852107.88,56250.0,277930.94,93.9921101,0.0,1576171.41,1111494.0,4366528.66
 Aug-20,458064.992,61.34689725,357.0,72.08918548,51.32265051,275.0536039,802865.765,6566441.3,1047106.72,3661166.24,76.28512623,538587.0,2435483.7,0.0,249672.4,0.0,0.0,2423395.3,0.0,0.0
 Sep-20,387980.032,67.88518951,358.0,72.05638701,56.3040201,238.924805,1874796.845,8367945.5,1866937.56,2949751.62,117.1630332,953394.0,3744211.9,0.0,2224054.41,46.92041947,0.0,4264551.7,943704.0,3924235.27
 Oct-20,404532.896,65.58025382,353.0,72.1126122,46.93469655,231.2330427,2545475.31,6561008.82,611136.67,2420669.72,50.78073236,859379.24,1817186.24,617692.3,8710677.14,62.41974571,2000000.0,5634426.65,1061232.0,3820009.96
 Nov-20,356000.224,65.63124522,327.0,71.52708699,45.60046077,234.8915509,4535629.52,4569474.19,296712.16,2444898.37,67.52271696,90723.43,1703612.42,842307.7,7507320.21,57.00942536,800000.0,5010944.19,554273.0,3833650.4
 Dec-20,316637.888,66.62724456,279.0,72.57927929,51.59206631,197.4556265,3342670.07,3793242.08,821296.98,3185551.96,0.0,0.0,0.0,0.0,313802.52,0.0,0.0,2138408.01,0.0,0.0
 Jan-21,362223.712,63.82457921,349.0,66.97854924,46.03214071,255.6916816,2167464.779,9539197.84,1076404.195,1760912.87,0.0,0.0,0.0,0.0,401416.19,65.52775415,0.0,676336.11,512080.0,3811606.62
 Feb-21,311212.416,69.60561625,279.0,72.17371798,48.1393832,228.4412457,0.0,2704592.28,608975.8096,2342663.93,0.0,0.0,0.0,70000.0,2046054.06,0.0,0.0,1028640.01,0.0,0.0
 Mar-21,352549.632,68.17824164,307.0,69.71012125,52.92374579,185.0435869,4578661.26,6040005.57,585306.6658,2342968.23,101.6884361,858673.33,2683249.8,20000.0,6417222.12,53.46901608,0.0,1808108.89,512080.0,3279755.96
 Apr-21,277675.616,69.52501728,248.0,73.47597376,50.85556972,540.0595963,323872.7396,4769250.43,231854.09,2004941.15,59.18194889,0.0,1601328.27,0.0,2618363.37,0.0,0.0,2177204.65,0.0,906344.37
 May-21,272086.304,69.66336681,252.0,72.90710143,46.96667522,472.2113061,24604.54043,4631250.26,413160.39,2422700.75,131.2139527,648263.0,3578198.19,0.0,6260120.372,73.01929549,104838.71,2231565.76,0.0,4269262.68
 Jun-21,293945.312,69.02041016,257.0,73.26897206,45.29675095,577.4807536,0.0,4142051.83,483983.12,2232064.75,57.21342152,264448.0,1731880.16,0.0,7294997.06,1.994041786,145161.29,2740658.61,0.0,4062621.94
 Jul-21,319370.016,69.05219931,271.0,71.96073855,51.44169118,304.9317057,7301684.1,4854456.75,975235.61,2143763.37,82.21159561,647196.33,2052089.06,0.0,478396.27,0.0,17706.67,2638972.69,0.0,0.0
