Feature,Left Elasticity,Right Elasticity,Avg Elasticity
Dove_Bar_Offline_Average_Price,-13.7847,-15.9887,-14.8867
Safeguard_PW_TV_GRP,-0.0346,-0.0341,-0.0344
Dove_Bar_Offline_TDP_Distribution,2.2387,2.1897,2.2142
Dove_PW_MSP_TV_GRP,0.0202,0.0199,0.02
DOVE_ALL_ALL_ALL_DIGITAL.SPENDS.MSP.OOH_ownM_0370,0.0892,0.0891,0.0892
DOVE_ALL_ALL_ALL_DIGITAL.SPENDS.MSP.PREROLL_ownM_0370,0.1027,0.1026,0.1026
DOVE.Shampoo_ALL_ALL_ALL_CDS.DIGITAL.ACTIVATION_haloD_0330,0.0443,0.0443,0.0443
DOVE.Shampoo_ALL_ALL_ALL_CDS.SOCIAL_haloD_0330,0.1129,0.1128,0.1128
DOVE_ALL_BAR_OFFLINE.RETAIL_CDP_ownpromo.L2,0.488,0.4856,0.4868
DOVE_ALL_BAR_OFFLINE.RETAIL_BBP.RT_ownpromo.L2,0.2563,0.2557,0.256
DOVE_OTHERS_BAR_OFFLINE.RETAIL_TCP.DM_ownpromo.L2,0.0773,0.0772,0.0772
DOVE_OTHERS_BAR_OFFLINE.RETAIL_CPP_ownpromo.L2,0.3148,0.3138,0.3143
DOVE.Shampoo_ALL_ALL_ALL_SPENDS.MSP.OOH_haloM_0370,0.1468,0.1466,0.1467
DOVE.Shampoo_ALL_ALL_ALL_SPENDS.MSP.PREROLL_haloM_0370,0.1309,0.1307,0.1308
SET1.RETAIL,8.104,7.4965,7.8002
SET1.ONLINE,2.2622,2.2121,2.2371
