Date,Dove Bar Offline Volume,Dove Bar Offline Average Price,Safeguard PW TV GRP,Dove Bar Offline TDP Distribution,Dove PW MSP TV GRP,Dove PW MSP OOH,Dove PW MSP Pre-roll,Dove Haircare CDS Digital,Dove Haircare CDS Social,Dove PW CDP Promotion,Dove BB-RT Promotion,Dove Bar Offline (TCP+DM) Promotion,Dove Bar Offline CPP Promotion,Dove Haircare MSP OOH,Dove Haircare MSP Pre-roll,Comp Price-Retail,Comp Price- EC
 Jun-20,46166.304,66.83805574,446.8773368,59,38.13517315,550800,2178631.08,0,4807890.49,4583810.43,4103292.42,180.1881991,278594.39,1182759.28,3728815.75,41.67309377,47.98761656
 Jul-20,83284.928,55.21204869,0,60,93.9921101,1111494,4366528.66,56250,277930.94,4187804.85,4649914.54,285.5718528,590327.56,887441,5852107.88,42.28506804,54.45056376
 Aug-20,51111.12,66.51520745,0,56,0,0,0,0,249672.4,5276372.51,3242990.03,490.6260744,458127.71,538587,2435483.7,42.63120962,53.48114243
 Sep-20,50231.812,65.65956151,0,51,46.92041947,943704,3924235.27,0,2224054.41,4951621.54,4419066.77,3172.608024,680368.69,953394,3744211.9,42.94905822,52.82696953
 Oct-20,41890.844,70.09672567,0,50,62.41974571,1061232,3820009.96,617692.3,8710677.14,4364937.42,3055290.672,2704.38,663302.55,859379.24,1817186.24,43.26642139,48.50958226
 Nov-20,39394.628,68.00084519,0,47,57.00942536,554273,3833650.4,842307.7,7507320.21,4117370.39,6929050.918,39806.00749,435169.5,90723.43,1703612.42,42.29279211,43.33622312
 Dec-20,36385.184,68.27463756,0,41,0,0,0,0,313802.52,5747089.13,7406404.52,16156.46251,443313.74,0,0,42.66371429,49.43179319
 Jan-21,78855.544,49.64228641,552.563825,53,65.52775415,512080,3811606.62,0,401416.19,3315375.72,3724334.55,1726.17,463683.23,0,0,40.69479588,47.08653954
 Feb-21,40503.232,65.38865219,397.1014673,46,0,0,0,70000,2046054.06,4276889.97,3150426.09,4999.13,149288.55,0,0,43.03839957,49.42099289
 Mar-21,52013.652,58.70349673,844.3648007,48,53.46901608,512080,3279755.96,20000,6417222.12,4436410.91,6448951.29,14414.44,188701.48,858673.33,2683249.8,42.69650463,50.06059353
 Apr-21,35814.756,68.61364629,916.9627845,42,0,0,906344.37,0,2618363.37,4089415.12,4475499.446,15355.07,192056.19,0,1601328.27,43.70515559,50.76928768
 May-21,49257.416,60.95355773,1015.065582,45,73.01929549,0,4269262.68,0,6260120.372,4806914.85,1008351.674,43293.38,190295.3,648263,3578198.19,43.56540918,49.73782361
 Jun-21,44817.264,66.9268934,1058.20116,45,1.994041786,0,4062621.94,0,7294997.06,4600123.19,1254488.58,11195.42,349905.53,264448,1731880.16,43.2802279,41.28508365
 Jul-21,69668.024,57.50478512,0,46,0,0,0,0,478396.27,4348124.81,8601564.18,8953.08,313182.86,647196.33,2052089.06,43.23155729,51.76077681
