Date,Dove Core SGL Offline Volume,Dove Core SGL Offline Average Price,Dove Core SGL Offline TDP Distribution,Dove Core SGL Offline CPP Promotion,Dove Core SGL Offline TCP+DM Promotion,Dove PW CDP Promotion,Dove Core BB-Retail Promotion,Dove PW MSP TV GRP,Dove PW MSP OOH,Dove PW MSP Pre-roll,Dove PW CDS Digital,Dove PW CDS Social,Dove Haircare MSP OOH,Dove Haircare MSP Pre-roll,Dove Haircare CDS Digital,Dove Haircare CDS Social,Comp Price- Retail,Comp Price- EC
 Jun-20,971875.025,41.69513679,598,3125457.92,1518159.99,4583810.43,1462510.559,38.13517315,550800,2178631.08,750000,6793339.64,1182759.28,3728815.75,0,4807890.49,40.4017969,47.9030463
 Jul-20,968406.626,43.01439682,580,4944607.97,1378416.84,4187804.85,2046799.372,93.9921101,1111494,4366528.66,0,1576171.41,887441,5852107.88,56250,277930.94,40.75150316,49.93660037
 Aug-20,1042683.964,43.66609506,568,4543810.8,706072.3,5276372.51,1159182.096,0,0,0,0,2423395.3,538587,2435483.7,0,249672.4,40.90153922,51.83550032
 Sep-20,1142393.005,43.33688781,572,9589592.39,1713439.16,4951621.54,3045470.739,46.92041947,943704,3924235.27,0,4264551.7,953394,3744211.9,0,2224054.41,40.68960098,49.50483578
 Oct-20,1147413.551,43.58050333,565,4303850.84,1778102.09,4364937.42,1311617.12,62.41974571,1061232,3820009.96,2000000,5634426.65,859379.24,1817186.24,617692.3,8710677.14,41.01131114,46.02463863
 Nov-20,1086796.209,41.49944018,523,4684884.57,735764.14,4117370.39,881380.1341,57.00942536,554273,3833650.4,800000,5010944.19,90723.43,1703612.42,842307.7,7507320.21,40.99693506,46.41289441
 Dec-20,1003434.466,41.44478235,451,9891874.23,556809.68,5747089.13,7383835.52,0,0,0,0,2138408.01,0,0,0,313802.52,41.57832712,46.97177922
 Jan-21,1160546.699,39.96218497,563,7887548.08,1693116.2,3315375.72,0,65.52775415,512080,3811606.62,0,676336.11,0,0,0,401416.19,38.20488407,45.65078014
 Feb-21,1033186.958,42.24876557,528,4759485.37,844389.68,4276889.97,0,0,0,0,0,1028640.01,0,0,70000,2046054.06,40.83231939,47.15171605
 Mar-21,1283980.288,40.58114634,562,6344580.66,730709.01,4436410.91,0,53.46901608,512080,3279755.96,0,1808108.89,858673.33,2683249.8,20000,6417222.12,40.17461981,51.63488644
 Apr-21,945618.225,42.87135061,510,3689749,1012356.13,4089415.12,1050248.01,0,0,906344.37,0,2177204.65,0,1601328.27,0,2618363.37,40.67771801,52.77288453
 May-21,1015245.332,42.47118646,529,4891732.98,122780.68,4806914.85,4071.67,73.01929549,0,4269262.68,104838.71,2231565.76,648263,3578198.19,0,6260120.372,40.48429991,52.46327849
 Jun-21,1092987.694,41.77311629,520,4227722.52,1370849.25,4600123.19,4071.67,1.994041786,0,4062621.94,145161.29,2740658.61,264448,1731880.16,0,7294997.06,40.36834926,47.69623175
 Jul-21,1114112.42,43.09642011,520,3936700.88,1537425.98,4348124.81,211967,0,0,0,17706.67,2638972.69,647196.33,2052089.06,0,478396.27,40.49186238,58.05518888
