Date,Dove Premium (Dogma) SGL EC Volume,Dove PW MSP TV GRP,Dove PW PFM Others,Safeguard PW TV GRP,Dove Premium (Dogma) SGL EC Average Price,Dove PW BB-EC promotion,Dove Premium (Dogma) SGL EC CPP Promotion,Dove PW ECP Promotion,Dove PW CDS Digital,Dove PW CDS Social,Dove PW MSP OOH,Dove PW MSP Pre-roll,Dove Haircare PFM CPS,Dove Haircare PFM Livestream,Dove Haircare PFM Others,Dove Haircare CDS Digital,Dove Haircare CDS Social,Comp Price - Retail,Comp Price - EC
 Jun-20,121320.1,38.13517315,8968891.84,446.8773368,56.05831185,0,98296.19,3081997.47,750000,6793339.64,550800,2178631.08,1113625.4,782718.75,7259610.54,0,4807890.49,42.03073781,35.92774693
 Jul-20,49648.05,93.9921101,5560015.06,0,63.36603351,0,305472.04,2792025.19,0,1576171.41,1111494,4366528.66,115646,51767.94444,3979472.28,56250,277930.94,42.23866786,36.61166555
 Aug-20,35366.45,0,2518158.28,0,68.59608471,0,180558.01,2385536.58,0,2423395.3,0,0,122080,51767.94254,2734178.75,0,249672.4,42.45361691,39.01585536
 Sep-20,46757.7,46.92041947,3610157.5,0,64.78077408,0,2584179.97,7802506.87,0,4264551.7,943704,3924235.27,905547.97,228501.3183,3296125.2,0,2224054.41,42.61453714,41.03365223
 Oct-20,60970.27,62.41974571,11711356.86,0,69.36167414,33627.96,768273.8979,5186944.54,2000000,5634426.65,1061232,3820009.96,2950305.989,82383.09714,7228756.33,617692.3,8710677.14,43.60092793,37.4698795
 Nov-20,218224.12,57.00942536,7424544.681,0,40.71960515,0,187719.6421,3951131.73,800000,5010944.19,554273,3833650.4,2171760.391,188246.3176,7015712.82,842307.7,7507320.21,42.6692951,41.33210272
 Dec-20,27373.34,0,5435564.96,0,70.2508353,0,0,2652739.61,0,2138408.01,0,0,0,0,1576697.42,0,313802.52,43.33380891,38.3848947
 Jan-21,28118.6,65.52775415,5808354.67,552.563825,59.00009247,0,526935.63,2707757.82,0,676336.11,512080,3811606.62,490549.06,294.8554624,1880290.16,0,401416.19,40.32190132,39.88409158
 Feb-21,11435.1,0,3015473.07,397.1014673,81.76579129,0,265029.4,2435848.27,0,1028640.01,0,0,95954.05,326.6345376,1636910.31,70000,2046054.06,42.5321351,41.43628791
 Mar-21,28080.31,53.46901608,5038365.41,844.3648007,69.94224779,0,145452.25,1850549.99,0,1808108.89,512080,3279755.96,166022.35,0,2195299.51,20000,6417222.12,42.04789434,41.67834892
 Apr-21,21136.47,0,3398853.77,916.9627845,67.7501967,247775.55,624715.06,5598127.74,0,2177204.65,0,906344.37,693071.8092,680056.48,2763073.37,0,2618363.37,42.31532169,41.72856099
 May-21,62200.34,73.01929549,9269143.7,1015.065582,65.5462655,0,1879914.45,6650617.44,104838.71,2231565.76,0,4269262.68,957330.8208,1547158.5,5215407.02,0,6260120.372,42.22816445,37.15746206
 Jun-21,99391.3,1.994041786,8727835.01,1058.20116,81.04331063,0,217334.02,3323446.47,145161.29,2740658.61,0,4062621.94,0,1481818.09,3250318.62,0,7294997.06,41.63278011,36.86890466
 Jul-21,56032.21,0,3152833.7,0,78.09793688,0,43917.56,3376389.41,17706.67,2638972.69,0,0,684646.37,415370.23,3194600.76,0,478396.27,42.00199568,34.62956732
