Date,Lux Core SGL Offline Volume,Lux PW MSP TV GRP,Lux PW CDS Digital,Lux PW CDS Social,Lux PW CDP Promotion,Lux Core SGL Offline CPP Promotion,Lux Core SGL Offline TDP Distribution,Lux Core SGL Offline Average Price,Lux Core SGL Offline TCP+DM Promotion,Lux Core Offline BB-Retail Promotion,Lux PW MSP OOH,Lux PW MSP Pre-roll,Lux Haircare CDS Social,Lux Haircare MSP Pre-roll,Comp Price- Retail,Comp Price- EC
 Jun-20,3248046.595,82.69534859,200000,3061586.24,14673113.18,24207264.62,962,38.83009672,1709635.66,13622597.58,1686381.28,6033536.5,5415443.05,0,39.69297756,32.46666483
 Jul-20,3357619.881,102.3244404,0,1018090.98,13292808.08,21976821.8,965,39.59673434,1828678.27,6627111.722,1555908,5926475.53,55355.83,0,39.85327987,33.47024383
 Aug-20,3593622.815,91.49909529,0,2017008.33,14512187.62,23596958.05,976,39.2211825,2296426.19,9924176.063,2200548,7129983.94,172198.9,2444602.31,40.17037208,33.97993187
 Sep-20,3813154.673,59.68370968,0,1626998.93,16277889.02,27449979.04,989,38.83186645,4159832.65,7379889.396,1354254,5798056.101,3404431.99,3260502.43,40.37292319,37.15217913
 Oct-20,3141107.974,101.5058422,28507.14,1674799.43,13860475.57,17990102.1,957,39.13989925,2281629.89,5587432.991,1478975.59,5172453.12,6052214.69,3745056.95,40.4766229,33.15179465
 Nov-20,2417347.074,231.8971459,771492.86,1520909.49,12000230.89,17460357.52,888,39.96853544,1896979.85,5662222.414,1281030.63,7638065.2,8833399.58,2642852.18,39.99972673,32.04099935
 Dec-20,2028823.776,12.23394376,0,941290.13,16416550.33,15766635.55,764,40.41238473,720947.19,12544065.33,0,0,336192.16,3232438.51,40.73670308,36.53513477
 Jan-21,2693045.933,123.6717237,62372.88,1665946.73,9442097.01,28235219.73,906,36.90886076,2075830.05,4433144.51,732100.29,5713989.172,4000,3381018.27,38.22470375,34.06842392
 Feb-21,2382239.285,17.92160746,75932.2,365815.82,12461029.95,8914972.57,876,40.04055643,1536628.62,5034994.61,0,0,1442370.87,0,40.23515603,34.43501892
 Mar-21,3221808.519,122.5175669,21694.92,4493456.39,13001826.58,23053267.56,970,38.5421469,1094289.95,16690875.84,730930.33,5652879.93,1673223.64,3058914.55,39.74101956,35.75905362
 Apr-21,2517050,137.1629025,0,840595.41,11604292.33,22588705.34,859,39.44891201,768349.21,3197708.819,578116.33,5584506.08,1388066.22,1543640.93,40.40410695,33.69627465
 May-21,2691184.71,109.6814359,300000,1893157,14870444.23,17415501.81,883,38.54089662,182056.04,2751912.27,578116.33,5355955.18,2139528.55,0,40.19577774,32.74558058
 Jun-21,3117065.208,98.73671505,0,3215908.28,13592197.72,21219665.72,887,38.28889239,1659246.3,6994378.3,628076.33,5816482.29,3958981.05,1569632.76,40.05121341,29.39674687
 Jul-21,3308133.178,109.2156454,0,306679.24,12195686.16,15867107.17,883,38.72245006,1655501.18,10224720.28,375732,4818880.256,821001.41,1471531.06,39.99250225,32.6161005
