Date,iqiyi,youku,tencent,mangoTV,sohuTV,pptv,xiaomi_preroll,xiaomi_opening,sum
2021-08-24,3617461,1255400,3196603,1347920,1364304,189409,240896,118166,11330159
2021-08-25,3484734,1381279,3211704,1346417,1254951,253561,222119,116342,11271107
2021-08-26,3544902,1436097,2870005,1345544,1363836,240443,209108,106760,11116695
2021-08-27,3244295,1328655,3218679,1339017,1215400,181668,211069,111641,10850424
2021-08-28,3508601,1279513,2957069,1324111,1199149,138752,190726,105739,10703660
2021-08-29,3806761,1348437,2933545,1351415,1161600,125043,224410,100744,11051955
2021-08-30,3617534,1237557,2958741,1338207,947300,154073,219184,104216,10576812
2021-08-31,3283962,1199710,2576057,1466672,524463,148381,219211,101202,9519658
2021-09-01,4241560,1881072,6494143,1738547,1416366,2110685,319319,496214,18697906
2021-09-02,4165473,1892497,6181019,1857070,1824602,1429198,303500,485683,18139042
2021-09-03,4112706,1839780,5940689,1841896,1713139,1076633,302488,507154,17334485
2021-09-04,4197937,1892542,6522864,1820169,1575004,965945,299502,494387,17768350
2021-09-05,4150995,1702604,5497341,1818275,1490990,900945,316433,511018,16388601
2021-09-06,4380226,1619131,3621435,1805239,1650120,869820,318177,503586,14767734
2021-09-07,4188015,1649095,2681295,1848320,1667807,877980,310917,537388,13760817
2021-09-08,3640688,1407153,2694869,1818839,1536690,829799,307914,479260,12715212
2021-09-09,3617604,1475895,2830584,1776529,1567625,802810,299698,476625,12847370
2021-09-10,3713402,1385267,3440175,1763975,1440932,801420,291744,469323,13306238
2021-09-11,4774210,1692810,3596364,1861065,1526072,818095,295651,472132,15036399
2021-09-12,4308786,1770212,3631187,1610940,1416875,795637,298918,489558,14322113
2021-09-13,3249631,1199139,2214916,1623160,1365845,749224,276351,460701,11138967
2021-09-14,3114233,1119656,2161528,1694771,1474732,877961,273989,453275,11170145
2021-09-15,2930722,1038901,1498739,1680481,1463922,871592,261092,441497,10186946
2021-09-16,2990774,1091159,2035203,1810015,1590147,853968,262684,422768,11056718
