Date,Dove Core EC Volume,Dove Core Shampoo EC Average Price,Comp Price-EC,Comp Price-Retail,Dove Core Haircare BB-EC Promotion,Dove Core Shampoo EC CPP Promotion,Dove Haircare ECP Promotion,Dove Haircare MSP TV GRP,Dove Haircare MSP OOH,Dove Haircare MSP Pre-roll,Dove Haircare CDS Digital,Dove Haircare CDS Social,Dove Haircare PFM CPS,Dove Haircare PFM Livestream,Dove Haircare PFM Others,Dove PW MSP TV GRP,Dove PW CDS Social,Dove PW PFM CPS,Dove PW PFM Livestream,Dove PW PFM Others
 Apr-20,152558.485,51.99058125,44.24585878,66.77602045,92745.26966,2322264.53,2881506.62,197.9519113,743583.0,1738286.6,0.0,1559011.76,1161692.0,351998.6065,1429278.65,0.509663122,2047044.01,2030469.0,533905.4,
 May-20,183188.72,45.64533302,43.6973951,66.54322832,0.0,7240055.77,4568605.9,10.25654912,0.0,3728815.75,400000.0,1469924.33,1008838.99,0.0,5443357.84,61.21255234,0.0,1046168.98,357508.66,
 Jun-20,254695.51,48.70724867,43.31649804,64.62143533,513761.35,46046.65,2878671.27,115.3667636,1182759.28,3728815.75,0.0,4807890.49,1113625.4,782718.75,7259610.54,38.13517315,6793339.64,1663649.63,2050089.7,
 Jul-20,134772.55,50.21989411,42.85315103,66.62819558,21491.3,1577897.37,2043681.84,91.84034936,887441.0,5852107.88,56250.0,277930.94,115646.0,51767.94444,3979472.28,93.9921101,1576171.41,821277.0,380290.3,
 Aug-20,167576.85,49.39037039,43.38178979,63.27513833,114230.11,4578187.4,2333167.98,76.28512623,538587.0,2435483.7,0.0,249672.4,122080.0,51767.94254,2734178.75,0.0,2423395.3,1037470.0,380290.3,
 Sep-20,165344.255,50.73513507,47.05238357,65.61076395,14448.46,9636919.5,3798504.34,117.1630332,953394.0,3744211.9,0.0,2224054.41,905547.97,228501.3183,3296125.2,46.92041947,4264551.7,1067191.87,9744733.9,
 Oct-20,197331.13,48.20842155,47.49599238,65.75130277,615946.3968,4453408.2,5689987.18,50.78073236,859379.24,1817186.24,617692.3,8710677.14,2950305.989,82383.09714,7228756.33,62.41974571,5634426.65,4903889.769,132771.7028,
 Nov-20,372341.68,45.17311954,43.79694381,64.27809513,410.6332089,3929203.03,3873986.53,67.52271696,90723.43,1703612.42,842307.7,7507320.21,2171760.391,188246.3176,7015712.82,57.00942536,5010944.19,3143850.271,275774.3656,
 Dec-20,136295.82,56.10620054,46.03066519,64.77736273,0.0,2773963.36,2063900.21,0.0,0.0,0.0,0.0,313802.52,0.0,0.0,1576697.42,0.0,2138408.01,359145.4,0.0,
 Jan-21,130483.285,48.76017154,46.68770747,61.99685506,31624.93,4501995.95,1918657.57,0.0,0.0,0.0,0.0,401416.19,490549.06,294.8554624,1880290.16,65.52775415,676336.11,624024.44,248176.8176,
 Feb-21,99397.235,50.26509349,50.00644748,65.6809283,50433.94,3064333.25,485940.85,0.0,0.0,0.0,70000.0,2046054.06,95954.05,326.6345376,1636910.31,0.0,1028640.01,548004.34,274844.914,
 Mar-21,171711.075,55.60830797,47.68286441,64.49948241,191057.56,4548280.9,3172060.35,101.6884361,858673.33,2683249.8,20000.0,6417222.12,166022.35,0.0,2195299.51,53.46901608,1808108.89,1029219.54,0.0,
 Apr-21,167683.86,53.86073144,49.25783426,65.47590291,129204.48,6389292.59,4715370.081,59.18194889,0.0,1601328.27,0.0,2618363.37,693071.8092,680056.48,2763073.37,0.0,2177204.65,873172.96,1467576.92,
 May-21,212799.875,52.30157273,48.90634737,66.65727718,52076.15,9913828.18,4951675.819,131.2139527,648263.0,3578198.19,0.0,6260120.372,957330.8208,1547158.5,5215407.02,73.01929549,2231565.76,609592.15,816927.85,
 Jun-21,362034.92,44.29901505,43.25948664,66.17732996,61126.96,1971079.24,0.0,57.21342152,264448.0,1731880.16,0.0,7294997.06,0.0,1481818.09,3250318.62,1.994041786,2740658.61,3699415.37,2631378.4,
 Jul-21,140610.135,55.51919547,43.22015213,65.73330337,38079.92,3057632.66,7984122.51,82.21159561,647196.33,2052089.06,0.0,478396.27,684646.37,415370.23,3194600.76,0.0,2638972.69,1215392.43,1440494.72,
