Date,Lux Core EC Volume,Lux Core Shampoo EC Average Price,Comp Price-Retail,Comp Price-EC,Lux Core Haircare BB-EC Promotion,Lux Core Shampoo EC CPP Promotion,Lux Haircare ECP Promotion,Lux Haircare MSP TV GRP,Lux Haircare MSP OOH,Lux Haircare MSP Pre-roll,Lux Haircare CDS Social,Lux Haircare CDS Content,Lux Haircare CDS Digital,Lux Haircare PFM Others,Lux Haircare PFM CPS,Lux Haircare PFM Livestream,Lux PW MSP TV GRP,Lux PW CDS Social,Lux PW PFM CPS,Lux PW PFM Livestream,Lux PW PFM Others
 Mar-20,189039.74,50.96814252,71.47583049,76.21620431,51126.42042,2541227.16,1174032.43,0,0,0,470067.44,0,0,1490778.75,313523.02,228523.75,59.0146902,641587.16,1385810.09,226674.268,4342511.03
 Apr-20,171529.825,46.11175922,73.20459644,69.81389147,0,2929489.49,1701952.47,0,0,0,683852.52,0,0,1199234.2,269003.57,153663.18,41.72571962,1341817.76,1799759.6,340673.53,9624461.59
 May-20,141629.035,50.15480004,72.86958114,70.46832722,0,8283289.25,3275543.88,0,0,0,107608.27,0,2850000,1625453.95,240714.64,273592.65,71.02408319,1898875.6,645391.6,46651.4641,3200803.05
 Jun-20,472021.85,43.22048539,72.54616109,64.84453486,0,1856994.5,1794164.35,0,0,0,5415443.05,0,2850000,3130789.07,591937.17,682515.21,82.69534859,3061586.24,2795614.3,2139862.27,15892076.84
 Jul-20,130196.505,52.76787038,72.77427541,67.39157686,0,2171733.99,1271179.21,0,0,0,55355.83,0,0,1288139.9,56588,100823.71,102.3244404,1018090.98,1107213,269148.83,6084065.56
 Aug-20,199607.35,52.9448624,72.67976788,67.32059893,1327.52,7112901.26,1078893.89,0,2620558.36,2444602.31,172198.9,0,254763.64,303026.14,23200,100823.71,91.49909529,2017008.33,1557394.13,269148.83,2120273.28
 Sep-20,275238.43,59.64942192,73.21644461,70.29837655,174859.2,12616104.78,3516583.51,34.64306882,271934.72,3260502.43,3404431.99,0,545236.36,1363807.26,35761.34,2005003.32,59.68370968,1626998.93,641122.26,2146034.39,4821160.47
 Oct-20,200277.58,45.67971038,73.24269611,68.84083641,29294.15,9693929.82,2962231.54,93.34773815,1469098.17,3745056.95,6052214.69,0,598095.24,3467108.19,1357223.16,749380.11,101.5058422,1674799.43,3270158.47,672049.11,8667517.343
 Nov-20,650309.525,45.84513956,73.00922653,66.69750675,18385.65,2458392.99,2311073.08,82.49794347,103262.75,2642852.18,8833399.58,0,411904.76,4744136.46,2137607.37,778233.94,231.8971459,1520909.49,2886902.08,1752536.37,11879833.19
 Dec-20,160681.42,47.76301361,74.07353956,74.4796721,158474.23,516689.99,919933.58,160.1766593,234560,3232438.51,336192.16,8000000,0,882482.19,155179.6,1390726.51,12.23394376,941290.13,1660658.04,1400019.11,5007656.5
 Jan-21,187690.805,44.13560441,68.45737734,70.08288032,10843.76,4814038.35,2488979.93,106.9851426,575266,3381018.27,4000,2000000,0,1627370.14,200219.46,415191.76,123.6717237,1665946.73,597193.23,624758.81,3688031.99
 Feb-21,114307.71,46.29095386,74.07854335,73.02994064,1730.94,5155560.82,913860.66,5.107995618,0,0,1442370.87,2000000,76000,1601448.95,60786.08,461708.86,17.92160746,365815.82,563591.75,689320.22,3748519.09
 Mar-21,257956.995,51.13674615,71.87934724,70.80429881,19721.35,4411611.42,2524493.69,92.25675412,561802,3058914.55,1673223.64,2000000,20000,1538200.4,161883.88,2648123.43,122.5175669,4493456.39,1229872.96,1537265.91,8206649.06
 Apr-21,186344.53,48.15134697,74.8893378,76.81750709,6229.63359,6351728.25,3047433.12,70.30949823,295306.66,1543640.93,1388066.22,2000000,0,1504795.84,5096.811296,748379.08,137.1629025,840595.41,955010.75,1178188.16,6391676.83
 May-21,275304.3,42.84299998,74.73102607,75.49644953,74706.90174,10734643.28,5635531.13,0,0,0,2139528.55,0,0,3124289.98,10560.3987,8827954.38,109.6814359,1893157,715087.69,2231836.76,13261168.8
 Jun-21,625679.465,45.87406771,74.63286863,65.79601303,49977.67541,4307164.23,2405327.91,58.6144989,525382.95,1569632.76,3958981.05,0,0,794442.12,0,3264478.35,98.73671505,3215908.28,3932898.71,1623883.2,11608091.45
 Jul-21,160622.915,47.87222271,73.66304414,70.33728038,17.57608002,3253441.81,1782618.07,49.01435687,36419.05,1471531.06,821001.41,0,0,1409592.87,71662.98,1207907.09,109.2156454,306679.24,1369115.63,1156876.57,7417092.26
